# Energy (MeV)	Emin (MeV)	Emax (MeV)	E**2. dN/dE (erg.cm-2s-1)	GaussianError	MinosNegativeError	MinosPositiveError
182.39196561256654	100.0	332.66829120015655	1.1363864260037339e-10	4.4905476067889513e-11	4.4905476067889513e-11	4.4905476067889513e-11
606.7602352897023	332.66829120015655	1106.6819197003217	2.465761376284946e-10	6.307011232166386e-11	6.307011232166386e-11	6.307011232166386e-11
2018.4989064203019	1106.6819197003217	3681.579831288149	1.277448680214191e-10	6.4497917672249e-11	6.4497917672249e-11	6.4497917672249e-11
6714.905819882266	3681.579831288149	12247.448713915892	1.412028125337708e-10	0	0	0
22338.3624467022	12247.448713915892	40743.37835219955	4.541876679496514e-10	0	0	0
74312.64863354168	40743.37835219955	135540.30054147675	1.15850345438796e-09	0	0	0
247214.6183547796	135540.30054147675	450899.60169888724	1.622835042868475e-09	0	0	0
822404.646477834	450899.60169888724	1500000.0	-0.4801155797367872	0	0	0
