#E [MeV]  E**2*dN/dE [erg/cm2/s]  Error on (E**2*dN/dE) [erg/cm2/s]   
  1.2924e+03    1.5915e-10    4.0636e-11 
  1.2986e+03    1.5914e-10    4.0710e-11 
  1.3049e+03    1.5914e-10    4.0784e-11 
  1.3112e+03    1.5913e-10    4.0859e-11 
  1.3175e+03    1.5912e-10    4.0933e-11 
  1.3239e+03    1.5911e-10    4.1008e-11 
  1.3302e+03    1.5910e-10    4.1083e-11 
  1.3367e+03    1.5910e-10    4.1158e-11 
  1.3431e+03    1.5909e-10    4.1234e-11 
  1.3496e+03    1.5908e-10    4.1309e-11 
  1.3561e+03    1.5907e-10    4.1385e-11 
  1.3626e+03    1.5906e-10    4.1461e-11 
  1.3692e+03    1.5905e-10    4.1538e-11 
  1.3758e+03    1.5905e-10    4.1614e-11 
  1.3824e+03    1.5904e-10    4.1691e-11 
  1.3891e+03    1.5903e-10    4.1768e-11 
  1.3958e+03    1.5902e-10    4.1845e-11 
  1.4025e+03    1.5901e-10    4.1922e-11 
  1.4093e+03    1.5901e-10    4.2000e-11 
  1.4161e+03    1.5900e-10    4.2078e-11 
  1.4229e+03    1.5899e-10    4.2156e-11 
  1.4298e+03    1.5898e-10    4.2234e-11 
  1.4367e+03    1.5897e-10    4.2313e-11 
  1.4436e+03    1.5897e-10    4.2391e-11 
  1.4506e+03    1.5896e-10    4.2470e-11 
  1.4575e+03    1.5895e-10    4.2549e-11 
  1.4646e+03    1.5894e-10    4.2628e-11 
  1.4716e+03    1.5893e-10    4.2708e-11 
  1.4787e+03    1.5892e-10    4.2787e-11 
  1.4859e+03    1.5892e-10    4.2867e-11 
  1.4930e+03    1.5891e-10    4.2947e-11 
  1.5002e+03    1.5890e-10    4.3027e-11 
  1.5075e+03    1.5889e-10    4.3108e-11 
  1.5147e+03    1.5888e-10    4.3188e-11 
  1.5220e+03    1.5888e-10    4.3269e-11 
  1.5294e+03    1.5887e-10    4.3350e-11 
  1.5367e+03    1.5886e-10    4.3431e-11 
  1.5442e+03    1.5885e-10    4.3512e-11 
  1.5516e+03    1.5884e-10    4.3594e-11 
  1.5591e+03    1.5883e-10    4.3675e-11 
  1.5666e+03    1.5883e-10    4.3757e-11 
  1.5742e+03    1.5882e-10    4.3839e-11 
  1.5817e+03    1.5881e-10    4.3921e-11 
  1.5894e+03    1.5880e-10    4.4004e-11 
  1.5970e+03    1.5879e-10    4.4086e-11 
  1.6047e+03    1.5879e-10    4.4169e-11 
  1.6125e+03    1.5878e-10    4.4252e-11 
  1.6203e+03    1.5877e-10    4.4335e-11 
  1.6281e+03    1.5876e-10    4.4418e-11 
  1.6359e+03    1.5875e-10    4.4502e-11 
  1.6438e+03    1.5875e-10    4.4585e-11 
  1.6517e+03    1.5874e-10    4.4669e-11 
  1.6597e+03    1.5873e-10    4.4753e-11 
  1.6677e+03    1.5872e-10    4.4837e-11 
  1.6757e+03    1.5871e-10    4.4922e-11 
  1.6838e+03    1.5870e-10    4.5006e-11 
  1.6919e+03    1.5870e-10    4.5091e-11 
  1.7001e+03    1.5869e-10    4.5175e-11 
  1.7083e+03    1.5868e-10    4.5260e-11 
  1.7165e+03    1.5867e-10    4.5345e-11 
  1.7248e+03    1.5866e-10    4.5431e-11 
  1.7331e+03    1.5866e-10    4.5516e-11 
  1.7415e+03    1.5865e-10    4.5602e-11 
  1.7499e+03    1.5864e-10    4.5687e-11 
  1.7583e+03    1.5863e-10    4.5773e-11 
  1.7668e+03    1.5862e-10    4.5859e-11 
  1.7753e+03    1.5862e-10    4.5945e-11 
  1.7839e+03    1.5861e-10    4.6032e-11 
  1.7925e+03    1.5860e-10    4.6118e-11 
  1.8011e+03    1.5859e-10    4.6205e-11 
  1.8098e+03    1.5858e-10    4.6292e-11 
  1.8185e+03    1.5857e-10    4.6379e-11 
  1.8273e+03    1.5857e-10    4.6466e-11 
  1.8361e+03    1.5856e-10    4.6553e-11 
  1.8450e+03    1.5855e-10    4.6640e-11 
  1.8539e+03    1.5854e-10    4.6728e-11 
  1.8628e+03    1.5853e-10    4.6816e-11 
  1.8718e+03    1.5853e-10    4.6903e-11 
  1.8808e+03    1.5852e-10    4.6991e-11 
  1.8899e+03    1.5851e-10    4.7079e-11 
  1.8990e+03    1.5850e-10    4.7168e-11 
  1.9081e+03    1.5849e-10    4.7256e-11 
  1.9173e+03    1.5849e-10    4.7345e-11 
  1.9266e+03    1.5848e-10    4.7433e-11 
  1.9359e+03    1.5847e-10    4.7522e-11 
  1.9452e+03    1.5846e-10    4.7611e-11 
  1.9546e+03    1.5845e-10    4.7700e-11 
  1.9640e+03    1.5844e-10    4.7789e-11 
  1.9735e+03    1.5844e-10    4.7879e-11 
  1.9830e+03    1.5843e-10    4.7968e-11 
  1.9926e+03    1.5842e-10    4.8058e-11 
  2.0022e+03    1.5841e-10    4.8147e-11 
  2.0118e+03    1.5840e-10    4.8237e-11 
  2.0215e+03    1.5840e-10    4.8327e-11 
  2.0313e+03    1.5839e-10    4.8417e-11 
  2.0411e+03    1.5838e-10    4.8508e-11 
  2.0509e+03    1.5837e-10    4.8598e-11 
  2.0608e+03    1.5836e-10    4.8689e-11 
  2.0707e+03    1.5836e-10    4.8779e-11 
  2.0807e+03    1.5835e-10    4.8870e-11 
  2.0908e+03    1.5834e-10    4.8961e-11 
  2.1008e+03    1.5833e-10    4.9052e-11 
  2.1110e+03    1.5832e-10    4.9143e-11 
  2.1212e+03    1.5832e-10    4.9234e-11 
  2.1314e+03    1.5831e-10    4.9326e-11 
  2.1417e+03    1.5830e-10    4.9417e-11 
  2.1520e+03    1.5829e-10    4.9509e-11 
  2.1624e+03    1.5828e-10    4.9601e-11 
  2.1728e+03    1.5827e-10    4.9692e-11 
  2.1833e+03    1.5827e-10    4.9784e-11 
  2.1938e+03    1.5826e-10    4.9876e-11 
  2.2044e+03    1.5825e-10    4.9969e-11 
  2.2150e+03    1.5824e-10    5.0061e-11 
  2.2257e+03    1.5823e-10    5.0153e-11 
  2.2364e+03    1.5823e-10    5.0246e-11 
  2.2472e+03    1.5822e-10    5.0339e-11 
  2.2580e+03    1.5821e-10    5.0431e-11 
  2.2689e+03    1.5820e-10    5.0524e-11 
  2.2799e+03    1.5819e-10    5.0617e-11 
  2.2909e+03    1.5819e-10    5.0710e-11 
  2.3019e+03    1.5818e-10    5.0804e-11 
  2.3130e+03    1.5817e-10    5.0897e-11 
  2.3242e+03    1.5816e-10    5.0990e-11 
  2.3354e+03    1.5815e-10    5.1084e-11 
  2.3466e+03    1.5814e-10    5.1178e-11 
  2.3579e+03    1.5814e-10    5.1271e-11 
  2.3693e+03    1.5813e-10    5.1365e-11 
  2.3807e+03    1.5812e-10    5.1459e-11 
  2.3922e+03    1.5811e-10    5.1553e-11 
  2.4037e+03    1.5810e-10    5.1647e-11 
  2.4153e+03    1.5810e-10    5.1742e-11 
  2.4270e+03    1.5809e-10    5.1836e-11 
  2.4387e+03    1.5808e-10    5.1931e-11 
  2.4504e+03    1.5807e-10    5.2025e-11 
  2.4623e+03    1.5806e-10    5.2120e-11 
  2.4741e+03    1.5806e-10    5.2215e-11 
  2.4861e+03    1.5805e-10    5.2309e-11 
  2.4981e+03    1.5804e-10    5.2404e-11 
  2.5101e+03    1.5803e-10    5.2499e-11 
  2.5222e+03    1.5802e-10    5.2595e-11 
  2.5344e+03    1.5802e-10    5.2690e-11 
  2.5466e+03    1.5801e-10    5.2785e-11 
  2.5589e+03    1.5800e-10    5.2881e-11 
  2.5712e+03    1.5799e-10    5.2976e-11 
  2.5836e+03    1.5798e-10    5.3072e-11 
  2.5961e+03    1.5797e-10    5.3168e-11 
  2.6086e+03    1.5797e-10    5.3264e-11 
  2.6212e+03    1.5796e-10    5.3359e-11 
  2.6338e+03    1.5795e-10    5.3455e-11 
  2.6465e+03    1.5794e-10    5.3552e-11 
  2.6593e+03    1.5793e-10    5.3648e-11 
  2.6721e+03    1.5793e-10    5.3744e-11 
  2.6850e+03    1.5792e-10    5.3840e-11 
  2.6979e+03    1.5791e-10    5.3937e-11 
  2.7109e+03    1.5790e-10    5.4033e-11 
  2.7240e+03    1.5789e-10    5.4130e-11 
  2.7371e+03    1.5789e-10    5.4227e-11 
  2.7503e+03    1.5788e-10    5.4324e-11 
  2.7636e+03    1.5787e-10    5.4421e-11 
  2.7769e+03    1.5786e-10    5.4518e-11 
  2.7903e+03    1.5785e-10    5.4615e-11 
  2.8038e+03    1.5785e-10    5.4712e-11 
  2.8173e+03    1.5784e-10    5.4809e-11 
  2.8309e+03    1.5783e-10    5.4906e-11 
  2.8445e+03    1.5782e-10    5.5004e-11 
  2.8582e+03    1.5781e-10    5.5101e-11 
  2.8720e+03    1.5780e-10    5.5199e-11 
  2.8859e+03    1.5780e-10    5.5297e-11 
  2.8998e+03    1.5779e-10    5.5394e-11 
  2.9137e+03    1.5778e-10    5.5492e-11 
  2.9278e+03    1.5777e-10    5.5590e-11 
  2.9419e+03    1.5776e-10    5.5688e-11 
  2.9561e+03    1.5776e-10    5.5786e-11 
  2.9704e+03    1.5775e-10    5.5884e-11 
  2.9847e+03    1.5774e-10    5.5982e-11 
  2.9991e+03    1.5773e-10    5.6081e-11 
  3.0135e+03    1.5772e-10    5.6179e-11 
  3.0281e+03    1.5772e-10    5.6277e-11 
  3.0427e+03    1.5771e-10    5.6376e-11 
  3.0573e+03    1.5770e-10    5.6475e-11 
  3.0721e+03    1.5769e-10    5.6573e-11 
  3.0869e+03    1.5768e-10    5.6672e-11 
  3.1018e+03    1.5768e-10    5.6771e-11 
  3.1167e+03    1.5767e-10    5.6870e-11 
  3.1318e+03    1.5766e-10    5.6969e-11 
  3.1469e+03    1.5765e-10    5.7068e-11 
  3.1620e+03    1.5764e-10    5.7167e-11 
  3.1773e+03    1.5764e-10    5.7266e-11 
  3.1926e+03    1.5763e-10    5.7365e-11 
  3.2080e+03    1.5762e-10    5.7465e-11 
  3.2235e+03    1.5761e-10    5.7564e-11 
  3.2390e+03    1.5760e-10    5.7663e-11 
  3.2546e+03    1.5759e-10    5.7763e-11 
  3.2703e+03    1.5759e-10    5.7863e-11 
  3.2861e+03    1.5758e-10    5.7962e-11 
  3.3019e+03    1.5757e-10    5.8062e-11 
  3.3179e+03    1.5756e-10    5.8162e-11 
  3.3339e+03    1.5755e-10    5.8262e-11 
  3.3499e+03    1.5755e-10    5.8362e-11 
  3.3661e+03    1.5754e-10    5.8462e-11 
  3.3823e+03    1.5753e-10    5.8562e-11 
  3.3986e+03    1.5752e-10    5.8662e-11 
  3.4150e+03    1.5751e-10    5.8762e-11 
  3.4315e+03    1.5751e-10    5.8862e-11 
  3.4480e+03    1.5750e-10    5.8963e-11 
  3.4647e+03    1.5749e-10    5.9063e-11 
  3.4814e+03    1.5748e-10    5.9163e-11 
  3.4981e+03    1.5747e-10    5.9264e-11 
  3.5150e+03    1.5747e-10    5.9365e-11 
  3.5320e+03    1.5746e-10    5.9465e-11 
  3.5490e+03    1.5745e-10    5.9566e-11 
  3.5661e+03    1.5744e-10    5.9667e-11 
  3.5833e+03    1.5743e-10    5.9768e-11 
  3.6006e+03    1.5743e-10    5.9868e-11 
  3.6179e+03    1.5742e-10    5.9969e-11 
  3.6354e+03    1.5741e-10    6.0070e-11 
  3.6529e+03    1.5740e-10    6.0172e-11 
  3.6705e+03    1.5739e-10    6.0273e-11 
  3.6882e+03    1.5739e-10    6.0374e-11 
  3.7060e+03    1.5738e-10    6.0475e-11 
  3.7239e+03    1.5737e-10    6.0576e-11 
  3.7418e+03    1.5736e-10    6.0678e-11 
  3.7599e+03    1.5735e-10    6.0779e-11 
  3.7780e+03    1.5734e-10    6.0881e-11 
  3.7962e+03    1.5734e-10    6.0982e-11 
  3.8145e+03    1.5733e-10    6.1084e-11 
  3.8329e+03    1.5732e-10    6.1186e-11 
  3.8514e+03    1.5731e-10    6.1287e-11 
  3.8700e+03    1.5730e-10    6.1389e-11 
  3.8886e+03    1.5730e-10    6.1491e-11 
  3.9074e+03    1.5729e-10    6.1593e-11 
  3.9262e+03    1.5728e-10    6.1695e-11 
  3.9452e+03    1.5727e-10    6.1797e-11 
  3.9642e+03    1.5726e-10    6.1899e-11 
  3.9833e+03    1.5726e-10    6.2001e-11 
  4.0025e+03    1.5725e-10    6.2103e-11 
  4.0218e+03    1.5724e-10    6.2205e-11 
  4.0412e+03    1.5723e-10    6.2307e-11 
  4.0607e+03    1.5722e-10    6.2410e-11 
  4.0803e+03    1.5722e-10    6.2512e-11 
  4.0999e+03    1.5721e-10    6.2614e-11 
  4.1197e+03    1.5720e-10    6.2717e-11 
  4.1396e+03    1.5719e-10    6.2819e-11 
  4.1595e+03    1.5718e-10    6.2922e-11 
  4.1796e+03    1.5718e-10    6.3025e-11 
  4.1997e+03    1.5717e-10    6.3127e-11 
  4.2200e+03    1.5716e-10    6.3230e-11 
  4.2403e+03    1.5715e-10    6.3333e-11 
  4.2608e+03    1.5714e-10    6.3436e-11 
  4.2813e+03    1.5714e-10    6.3538e-11 
  4.3020e+03    1.5713e-10    6.3641e-11 
  4.3227e+03    1.5712e-10    6.3744e-11 
  4.3436e+03    1.5711e-10    6.3847e-11 
  4.3645e+03    1.5710e-10    6.3950e-11 
  4.3856e+03    1.5710e-10    6.4053e-11 
  4.4067e+03    1.5709e-10    6.4157e-11 
  4.4280e+03    1.5708e-10    6.4260e-11 
  4.4493e+03    1.5707e-10    6.4363e-11 
  4.4708e+03    1.5706e-10    6.4466e-11 
  4.4923e+03    1.5705e-10    6.4570e-11 
  4.5140e+03    1.5705e-10    6.4673e-11 
  4.5357e+03    1.5704e-10    6.4776e-11 
  4.5576e+03    1.5703e-10    6.4880e-11 
  4.5796e+03    1.5702e-10    6.4983e-11 
  4.6017e+03    1.5701e-10    6.5087e-11 
  4.6239e+03    1.5701e-10    6.5190e-11 
  4.6462e+03    1.5700e-10    6.5294e-11 
  4.6686e+03    1.5699e-10    6.5398e-11 
  4.6911e+03    1.5698e-10    6.5501e-11 
  4.7137e+03    1.5697e-10    6.5605e-11 
  4.7364e+03    1.5697e-10    6.5709e-11 
  4.7593e+03    1.5696e-10    6.5813e-11 
  4.7822e+03    1.5695e-10    6.5917e-11 
  4.8053e+03    1.5694e-10    6.6021e-11 
  4.8284e+03    1.5693e-10    6.6125e-11 
  4.8517e+03    1.5693e-10    6.6229e-11 
  4.8751e+03    1.5692e-10    6.6333e-11 
  4.8986e+03    1.5691e-10    6.6437e-11 
  4.9222e+03    1.5690e-10    6.6541e-11 
  4.9460e+03    1.5689e-10    6.6645e-11 
  4.9698e+03    1.5689e-10    6.6749e-11 
  4.9938e+03    1.5688e-10    6.6854e-11 
  5.0179e+03    1.5687e-10    6.6958e-11 
  5.0421e+03    1.5686e-10    6.7062e-11 
  5.0664e+03    1.5685e-10    6.7167e-11 
  5.0908e+03    1.5685e-10    6.7271e-11 
  5.1154e+03    1.5684e-10    6.7376e-11 
  5.1400e+03    1.5683e-10    6.7480e-11 
  5.1648e+03    1.5682e-10    6.7585e-11 
  5.1897e+03    1.5681e-10    6.7689e-11 
  5.2147e+03    1.5681e-10    6.7794e-11 
  5.2399e+03    1.5680e-10    6.7898e-11 
  5.2651e+03    1.5679e-10    6.8003e-11 
  5.2905e+03    1.5678e-10    6.8108e-11 
  5.3160e+03    1.5677e-10    6.8213e-11 
  5.3417e+03    1.5677e-10    6.8317e-11 
  5.3674e+03    1.5676e-10    6.8422e-11 
  5.3933e+03    1.5675e-10    6.8527e-11 
  5.4193e+03    1.5674e-10    6.8632e-11 
  5.4455e+03    1.5673e-10    6.8737e-11 
  5.4717e+03    1.5673e-10    6.8842e-11 
  5.4981e+03    1.5672e-10    6.8947e-11 
  5.5246e+03    1.5671e-10    6.9052e-11 
  5.5512e+03    1.5670e-10    6.9157e-11 
  5.5780e+03    1.5669e-10    6.9262e-11 
  5.6049e+03    1.5669e-10    6.9367e-11 
  5.6319e+03    1.5668e-10    6.9472e-11 
  5.6591e+03    1.5667e-10    6.9578e-11 
  5.6864e+03    1.5666e-10    6.9683e-11 
  5.7138e+03    1.5665e-10    6.9788e-11 
  5.7413e+03    1.5664e-10    6.9893e-11 
  5.7690e+03    1.5664e-10    6.9999e-11 
  5.7969e+03    1.5663e-10    7.0104e-11 
  5.8248e+03    1.5662e-10    7.0210e-11 
  5.8529e+03    1.5661e-10    7.0315e-11 
  5.8811e+03    1.5660e-10    7.0420e-11 
  5.9095e+03    1.5660e-10    7.0526e-11 
  5.9380e+03    1.5659e-10    7.0632e-11 
  5.9666e+03    1.5658e-10    7.0737e-11 
  5.9954e+03    1.5657e-10    7.0843e-11 
  6.0243e+03    1.5656e-10    7.0948e-11 
  6.0533e+03    1.5656e-10    7.1054e-11 
  6.0825e+03    1.5655e-10    7.1160e-11 
  6.1118e+03    1.5654e-10    7.1265e-11 
  6.1413e+03    1.5653e-10    7.1371e-11 
  6.1709e+03    1.5652e-10    7.1477e-11 
  6.2007e+03    1.5652e-10    7.1583e-11 
  6.2306e+03    1.5651e-10    7.1689e-11 
  6.2606e+03    1.5650e-10    7.1794e-11 
  6.2908e+03    1.5649e-10    7.1900e-11 
  6.3211e+03    1.5648e-10    7.2006e-11 
  6.3516e+03    1.5648e-10    7.2112e-11 
  6.3823e+03    1.5647e-10    7.2218e-11 
  6.4130e+03    1.5646e-10    7.2324e-11 
  6.4439e+03    1.5645e-10    7.2430e-11 
  6.4750e+03    1.5644e-10    7.2536e-11 
  6.5062e+03    1.5644e-10    7.2642e-11 
  6.5376e+03    1.5643e-10    7.2749e-11 
  6.5691e+03    1.5642e-10    7.2855e-11 
  6.6008e+03    1.5641e-10    7.2961e-11 
  6.6326e+03    1.5640e-10    7.3067e-11 
  6.6646e+03    1.5640e-10    7.3173e-11 
  6.6968e+03    1.5639e-10    7.3280e-11 
  6.7291e+03    1.5638e-10    7.3386e-11 
  6.7615e+03    1.5637e-10    7.3492e-11 
  6.7941e+03    1.5636e-10    7.3599e-11 
  6.8269e+03    1.5636e-10    7.3705e-11 
  6.8598e+03    1.5635e-10    7.3811e-11 
  6.8929e+03    1.5634e-10    7.3918e-11 
  6.9261e+03    1.5633e-10    7.4024e-11 
  6.9595e+03    1.5632e-10    7.4131e-11 
  6.9930e+03    1.5632e-10    7.4237e-11 
  7.0268e+03    1.5631e-10    7.4344e-11 
  7.0607e+03    1.5630e-10    7.4450e-11 
  7.0947e+03    1.5629e-10    7.4557e-11 
  7.1289e+03    1.5628e-10    7.4663e-11 
  7.1633e+03    1.5628e-10    7.4770e-11 
  7.1978e+03    1.5627e-10    7.4877e-11 
  7.2325e+03    1.5626e-10    7.4983e-11 
  7.2674e+03    1.5625e-10    7.5090e-11 
  7.3024e+03    1.5624e-10    7.5197e-11 
  7.3377e+03    1.5624e-10    7.5303e-11 
  7.3730e+03    1.5623e-10    7.5410e-11 
  7.4086e+03    1.5622e-10    7.5517e-11 
  7.4443e+03    1.5621e-10    7.5624e-11 
  7.4802e+03    1.5620e-10    7.5731e-11 
  7.5163e+03    1.5620e-10    7.5837e-11 
  7.5525e+03    1.5619e-10    7.5944e-11 
  7.5889e+03    1.5618e-10    7.6051e-11 
  7.6255e+03    1.5617e-10    7.6158e-11 
  7.6623e+03    1.5616e-10    7.6265e-11 
  7.6993e+03    1.5616e-10    7.6372e-11 
  7.7364e+03    1.5615e-10    7.6479e-11 
  7.7737e+03    1.5614e-10    7.6586e-11 
  7.8112e+03    1.5613e-10    7.6693e-11 
  7.8488e+03    1.5612e-10    7.6800e-11 
  7.8867e+03    1.5612e-10    7.6907e-11 
  7.9247e+03    1.5611e-10    7.7014e-11 
  7.9629e+03    1.5610e-10    7.7121e-11 
  8.0013e+03    1.5609e-10    7.7229e-11 
  8.0399e+03    1.5608e-10    7.7336e-11 
  8.0787e+03    1.5608e-10    7.7443e-11 
  8.1176e+03    1.5607e-10    7.7550e-11 
  8.1568e+03    1.5606e-10    7.7657e-11 
  8.1961e+03    1.5605e-10    7.7765e-11 
  8.2356e+03    1.5604e-10    7.7872e-11 
  8.2753e+03    1.5604e-10    7.7979e-11 
  8.3152e+03    1.5603e-10    7.8086e-11 
  8.3553e+03    1.5602e-10    7.8194e-11 
  8.3956e+03    1.5601e-10    7.8301e-11 
  8.4361e+03    1.5600e-10    7.8408e-11 
  8.4768e+03    1.5600e-10    7.8516e-11 
  8.5176e+03    1.5599e-10    7.8623e-11 
  8.5587e+03    1.5598e-10    7.8731e-11 
  8.6000e+03    1.5597e-10    7.8838e-11 
  8.6414e+03    1.5596e-10    7.8946e-11 
  8.6831e+03    1.5596e-10    7.9053e-11 
  8.7250e+03    1.5595e-10    7.9160e-11 
  8.7671e+03    1.5594e-10    7.9268e-11 
  8.8093e+03    1.5593e-10    7.9376e-11 
  8.8518e+03    1.5592e-10    7.9483e-11 
  8.8945e+03    1.5592e-10    7.9591e-11 
  8.9374e+03    1.5591e-10    7.9698e-11 
  8.9805e+03    1.5590e-10    7.9806e-11 
  9.0238e+03    1.5589e-10    7.9913e-11 
  9.0673e+03    1.5588e-10    8.0021e-11 
  9.1110e+03    1.5588e-10    8.0129e-11 
  9.1549e+03    1.5587e-10    8.0236e-11 
  9.1991e+03    1.5586e-10    8.0344e-11 
  9.2434e+03    1.5585e-10    8.0452e-11 
  9.2880e+03    1.5584e-10    8.0560e-11 
  9.3328e+03    1.5584e-10    8.0667e-11 
  9.3778e+03    1.5583e-10    8.0775e-11 
  9.4230e+03    1.5582e-10    8.0883e-11 
  9.4685e+03    1.5581e-10    8.0991e-11 
  9.5141e+03    1.5580e-10    8.1098e-11 
  9.5600e+03    1.5580e-10    8.1206e-11 
  9.6061e+03    1.5579e-10    8.1314e-11 
  9.6524e+03    1.5578e-10    8.1422e-11 
  9.6990e+03    1.5577e-10    8.1530e-11 
  9.7457e+03    1.5576e-10    8.1638e-11 
  9.7927e+03    1.5576e-10    8.1746e-11 
  9.8399e+03    1.5575e-10    8.1853e-11 
  9.8874e+03    1.5574e-10    8.1961e-11 
  9.9351e+03    1.5573e-10    8.2069e-11 
  9.9830e+03    1.5572e-10    8.2177e-11 
  1.0031e+04    1.5572e-10    8.2285e-11 
  1.0079e+04    1.5571e-10    8.2393e-11 
  1.0128e+04    1.5570e-10    8.2501e-11 
  1.0177e+04    1.5569e-10    8.2609e-11 
  1.0226e+04    1.5568e-10    8.2717e-11 
  1.0275e+04    1.5568e-10    8.2825e-11 
  1.0325e+04    1.5567e-10    8.2933e-11 
  1.0375e+04    1.5566e-10    8.3041e-11 
  1.0425e+04    1.5565e-10    8.3150e-11 
  1.0475e+04    1.5565e-10    8.3258e-11 
  1.0525e+04    1.5564e-10    8.3366e-11 
  1.0576e+04    1.5563e-10    8.3474e-11 
  1.0627e+04    1.5562e-10    8.3582e-11 
  1.0678e+04    1.5561e-10    8.3690e-11 
  1.0730e+04    1.5561e-10    8.3798e-11 
  1.0782e+04    1.5560e-10    8.3907e-11 
  1.0834e+04    1.5559e-10    8.4015e-11 
  1.0886e+04    1.5558e-10    8.4123e-11 
  1.0938e+04    1.5557e-10    8.4231e-11 
  1.0991e+04    1.5557e-10    8.4340e-11 
  1.1044e+04    1.5556e-10    8.4448e-11 
  1.1097e+04    1.5555e-10    8.4556e-11 
  1.1151e+04    1.5554e-10    8.4664e-11 
  1.1205e+04    1.5553e-10    8.4773e-11 
  1.1259e+04    1.5553e-10    8.4881e-11 
  1.1313e+04    1.5552e-10    8.4989e-11 
  1.1367e+04    1.5551e-10    8.5097e-11 
  1.1422e+04    1.5550e-10    8.5206e-11 
  1.1477e+04    1.5549e-10    8.5314e-11 
  1.1533e+04    1.5549e-10    8.5422e-11 
  1.1588e+04    1.5548e-10    8.5531e-11 
  1.1644e+04    1.5547e-10    8.5639e-11 
  1.1700e+04    1.5546e-10    8.5748e-11 
  1.1757e+04    1.5545e-10    8.5856e-11 
  1.1813e+04    1.5545e-10    8.5964e-11 
  1.1870e+04    1.5544e-10    8.6073e-11 
  1.1928e+04    1.5543e-10    8.6181e-11 
  1.1985e+04    1.5542e-10    8.6289e-11 
  1.2043e+04    1.5541e-10    8.6398e-11 
  1.2101e+04    1.5540e-10    8.6506e-11 
  1.2159e+04    1.5540e-10    8.6615e-11 
  1.2218e+04    1.5539e-10    8.6723e-11 
  1.2277e+04    1.5538e-10    8.6831e-11 
  1.2336e+04    1.5537e-10    8.6940e-11 
  1.2396e+04    1.5536e-10    8.7048e-11 
  1.2455e+04    1.5536e-10    8.7156e-11 
  1.2515e+04    1.5535e-10    8.7265e-11 
  1.2576e+04    1.5534e-10    8.7373e-11 
  1.2636e+04    1.5533e-10    8.7481e-11 
  1.2697e+04    1.5532e-10    8.7589e-11 
  1.2759e+04    1.5531e-10    8.7697e-11 
  1.2820e+04    1.5530e-10    8.7805e-11 
  1.2882e+04    1.5529e-10    8.7914e-11 
  1.2944e+04    1.5529e-10    8.8022e-11 
  1.3006e+04    1.5528e-10    8.8130e-11 
  1.3069e+04    1.5527e-10    8.8238e-11 
  1.3132e+04    1.5526e-10    8.8346e-11 
  1.3196e+04    1.5525e-10    8.8455e-11 
  1.3259e+04    1.5524e-10    8.8563e-11 
  1.3323e+04    1.5523e-10    8.8671e-11 
  1.3387e+04    1.5522e-10    8.8779e-11 
  1.3452e+04    1.5522e-10    8.8887e-11 
  1.3517e+04    1.5521e-10    8.8995e-11 
  1.3582e+04    1.5520e-10    8.9103e-11 
  1.3647e+04    1.5519e-10    8.9211e-11 
  1.3713e+04    1.5518e-10    8.9319e-11 
  1.3779e+04    1.5517e-10    8.9427e-11 
  1.3846e+04    1.5516e-10    8.9534e-11 
  1.3913e+04    1.5515e-10    8.9642e-11 
  1.3980e+04    1.5514e-10    8.9750e-11 
  1.4047e+04    1.5513e-10    8.9857e-11 
  1.4115e+04    1.5512e-10    8.9965e-11 
  1.4183e+04    1.5511e-10    9.0072e-11 
  1.4251e+04    1.5510e-10    9.0179e-11 
  1.4320e+04    1.5509e-10    9.0286e-11 
  1.4389e+04    1.5508e-10    9.0393e-11 
  1.4458e+04    1.5506e-10    9.0500e-11 
  1.4528e+04    1.5505e-10    9.0607e-11 
  1.4598e+04    1.5504e-10    9.0715e-11 
  1.4669e+04    1.5503e-10    9.0822e-11 
  1.4739e+04    1.5502e-10    9.0929e-11 
  1.4810e+04    1.5501e-10    9.1037e-11 
  1.4882e+04    1.5500e-10    9.1144e-11 
  1.4954e+04    1.5499e-10    9.1251e-11 
  1.5026e+04    1.5498e-10    9.1358e-11 
  1.5098e+04    1.5497e-10    9.1465e-11 
  1.5171e+04    1.5496e-10    9.1572e-11 
  1.5244e+04    1.5494e-10    9.1678e-11 
  1.5318e+04    1.5493e-10    9.1785e-11 
  1.5391e+04    1.5492e-10    9.1892e-11 
  1.5466e+04    1.5491e-10    9.1998e-11 
  1.5540e+04    1.5490e-10    9.2105e-11 
  1.5615e+04    1.5488e-10    9.2211e-11 
  1.5690e+04    1.5487e-10    9.2317e-11 
  1.5766e+04    1.5486e-10    9.2423e-11 
  1.5842e+04    1.5485e-10    9.2529e-11 
  1.5918e+04    1.5483e-10    9.2634e-11 
  1.5995e+04    1.5482e-10    9.2740e-11 
  1.6072e+04    1.5481e-10    9.2845e-11 
  1.6150e+04    1.5479e-10    9.2951e-11 
  1.6228e+04    1.5478e-10    9.3056e-11 
  1.6306e+04    1.5476e-10    9.3161e-11 
  1.6385e+04    1.5475e-10    9.3265e-11 
  1.6464e+04    1.5473e-10    9.3370e-11 
  1.6543e+04    1.5472e-10    9.3474e-11 
  1.6623e+04    1.5470e-10    9.3578e-11 
  1.6703e+04    1.5468e-10    9.3682e-11 
  1.6783e+04    1.5467e-10    9.3785e-11 
  1.6864e+04    1.5465e-10    9.3888e-11 
  1.6946e+04    1.5463e-10    9.3991e-11 
