#E [MeV]  E**2*dN/dE [erg/cm2/s]  Error on (E**2*dN/dE) [erg/cm2/s]   
  1.7897e+02    1.6254e-10    4.2345e-11 
  1.7983e+02    1.6253e-10    4.2263e-11 
  1.8070e+02    1.6252e-10    4.2181e-11 
  1.8157e+02    1.6251e-10    4.2100e-11 
  1.8245e+02    1.6251e-10    4.2018e-11 
  1.8333e+02    1.6250e-10    4.1937e-11 
  1.8421e+02    1.6249e-10    4.1857e-11 
  1.8510e+02    1.6248e-10    4.1776e-11 
  1.8599e+02    1.6247e-10    4.1696e-11 
  1.8689e+02    1.6246e-10    4.1615e-11 
  1.8779e+02    1.6246e-10    4.1536e-11 
  1.8869e+02    1.6245e-10    4.1456e-11 
  1.8960e+02    1.6244e-10    4.1377e-11 
  1.9052e+02    1.6243e-10    4.1298e-11 
  1.9144e+02    1.6242e-10    4.1219e-11 
  1.9236e+02    1.6241e-10    4.1140e-11 
  1.9329e+02    1.6241e-10    4.1062e-11 
  1.9422e+02    1.6240e-10    4.0984e-11 
  1.9516e+02    1.6239e-10    4.0906e-11 
  1.9610e+02    1.6238e-10    4.0828e-11 
  1.9704e+02    1.6237e-10    4.0751e-11 
  1.9799e+02    1.6236e-10    4.0674e-11 
  1.9895e+02    1.6236e-10    4.0597e-11 
  1.9991e+02    1.6235e-10    4.0521e-11 
  2.0087e+02    1.6234e-10    4.0444e-11 
  2.0184e+02    1.6233e-10    4.0368e-11 
  2.0281e+02    1.6232e-10    4.0293e-11 
  2.0379e+02    1.6231e-10    4.0217e-11 
  2.0477e+02    1.6231e-10    4.0142e-11 
  2.0576e+02    1.6230e-10    4.0067e-11 
  2.0675e+02    1.6229e-10    3.9993e-11 
  2.0775e+02    1.6228e-10    3.9918e-11 
  2.0875e+02    1.6227e-10    3.9844e-11 
  2.0976e+02    1.6226e-10    3.9770e-11 
  2.1077e+02    1.6226e-10    3.9697e-11 
  2.1179e+02    1.6225e-10    3.9624e-11 
  2.1281e+02    1.6224e-10    3.9551e-11 
  2.1383e+02    1.6223e-10    3.9478e-11 
  2.1486e+02    1.6222e-10    3.9406e-11 
  2.1590e+02    1.6221e-10    3.9334e-11 
  2.1694e+02    1.6221e-10    3.9262e-11 
  2.1799e+02    1.6220e-10    3.9190e-11 
  2.1904e+02    1.6219e-10    3.9119e-11 
  2.2010e+02    1.6218e-10    3.9048e-11 
  2.2116e+02    1.6217e-10    3.8978e-11 
  2.2222e+02    1.6217e-10    3.8907e-11 
  2.2329e+02    1.6216e-10    3.8837e-11 
  2.2437e+02    1.6215e-10    3.8768e-11 
  2.2545e+02    1.6214e-10    3.8698e-11 
  2.2654e+02    1.6213e-10    3.8629e-11 
  2.2763e+02    1.6212e-10    3.8560e-11 
  2.2873e+02    1.6212e-10    3.8492e-11 
  2.2983e+02    1.6211e-10    3.8424e-11 
  2.3094e+02    1.6210e-10    3.8356e-11 
  2.3205e+02    1.6209e-10    3.8288e-11 
  2.3317e+02    1.6208e-10    3.8221e-11 
  2.3430e+02    1.6207e-10    3.8154e-11 
  2.3543e+02    1.6207e-10    3.8087e-11 
  2.3656e+02    1.6206e-10    3.8021e-11 
  2.3770e+02    1.6205e-10    3.7955e-11 
  2.3885e+02    1.6204e-10    3.7889e-11 
  2.4000e+02    1.6203e-10    3.7824e-11 
  2.4116e+02    1.6202e-10    3.7759e-11 
  2.4232e+02    1.6202e-10    3.7694e-11 
  2.4349e+02    1.6201e-10    3.7630e-11 
  2.4466e+02    1.6200e-10    3.7566e-11 
  2.4584e+02    1.6199e-10    3.7502e-11 
  2.4703e+02    1.6198e-10    3.7439e-11 
  2.4822e+02    1.6197e-10    3.7376e-11 
  2.4942e+02    1.6197e-10    3.7313e-11 
  2.5062e+02    1.6196e-10    3.7250e-11 
  2.5183e+02    1.6195e-10    3.7188e-11 
  2.5304e+02    1.6194e-10    3.7127e-11 
  2.5426e+02    1.6193e-10    3.7065e-11 
  2.5549e+02    1.6192e-10    3.7004e-11 
  2.5672e+02    1.6192e-10    3.6944e-11 
  2.5796e+02    1.6191e-10    3.6883e-11 
  2.5920e+02    1.6190e-10    3.6823e-11 
  2.6045e+02    1.6189e-10    3.6764e-11 
  2.6171e+02    1.6188e-10    3.6704e-11 
  2.6297e+02    1.6187e-10    3.6645e-11 
  2.6424e+02    1.6187e-10    3.6587e-11 
  2.6551e+02    1.6186e-10    3.6528e-11 
  2.6679e+02    1.6185e-10    3.6471e-11 
  2.6808e+02    1.6184e-10    3.6413e-11 
  2.6937e+02    1.6183e-10    3.6356e-11 
  2.7067e+02    1.6182e-10    3.6299e-11 
  2.7198e+02    1.6182e-10    3.6243e-11 
  2.7329e+02    1.6181e-10    3.6186e-11 
  2.7461e+02    1.6180e-10    3.6131e-11 
  2.7593e+02    1.6179e-10    3.6075e-11 
  2.7726e+02    1.6178e-10    3.6020e-11 
  2.7860e+02    1.6178e-10    3.5966e-11 
  2.7994e+02    1.6177e-10    3.5912e-11 
  2.8129e+02    1.6176e-10    3.5858e-11 
  2.8265e+02    1.6175e-10    3.5804e-11 
  2.8401e+02    1.6174e-10    3.5751e-11 
  2.8538e+02    1.6173e-10    3.5698e-11 
  2.8675e+02    1.6173e-10    3.5646e-11 
  2.8814e+02    1.6172e-10    3.5594e-11 
  2.8953e+02    1.6171e-10    3.5542e-11 
  2.9092e+02    1.6170e-10    3.5491e-11 
  2.9233e+02    1.6169e-10    3.5440e-11 
  2.9374e+02    1.6168e-10    3.5390e-11 
  2.9515e+02    1.6168e-10    3.5340e-11 
  2.9657e+02    1.6167e-10    3.5290e-11 
  2.9800e+02    1.6166e-10    3.5241e-11 
  2.9944e+02    1.6165e-10    3.5192e-11 
  3.0089e+02    1.6164e-10    3.5143e-11 
  3.0234e+02    1.6163e-10    3.5095e-11 
  3.0379e+02    1.6163e-10    3.5048e-11 
  3.0526e+02    1.6162e-10    3.5000e-11 
  3.0673e+02    1.6161e-10    3.4953e-11 
  3.0821e+02    1.6160e-10    3.4907e-11 
  3.0970e+02    1.6159e-10    3.4861e-11 
  3.1119e+02    1.6158e-10    3.4815e-11 
  3.1269e+02    1.6158e-10    3.4770e-11 
  3.1420e+02    1.6157e-10    3.4725e-11 
  3.1571e+02    1.6156e-10    3.4680e-11 
  3.1724e+02    1.6155e-10    3.4636e-11 
  3.1877e+02    1.6154e-10    3.4593e-11 
  3.2030e+02    1.6153e-10    3.4549e-11 
  3.2185e+02    1.6153e-10    3.4507e-11 
  3.2340e+02    1.6152e-10    3.4464e-11 
  3.2496e+02    1.6151e-10    3.4422e-11 
  3.2652e+02    1.6150e-10    3.4381e-11 
  3.2810e+02    1.6149e-10    3.4339e-11 
  3.2968e+02    1.6149e-10    3.4299e-11 
  3.3127e+02    1.6148e-10    3.4258e-11 
  3.3287e+02    1.6147e-10    3.4218e-11 
  3.3447e+02    1.6146e-10    3.4179e-11 
  3.3609e+02    1.6145e-10    3.4140e-11 
  3.3771e+02    1.6144e-10    3.4101e-11 
  3.3934e+02    1.6144e-10    3.4063e-11 
  3.4097e+02    1.6143e-10    3.4025e-11 
  3.4262e+02    1.6142e-10    3.3988e-11 
  3.4427e+02    1.6141e-10    3.3951e-11 
  3.4593e+02    1.6140e-10    3.3915e-11 
  3.4760e+02    1.6139e-10    3.3879e-11 
  3.4927e+02    1.6139e-10    3.3843e-11 
  3.5096e+02    1.6138e-10    3.3808e-11 
  3.5265e+02    1.6137e-10    3.3773e-11 
  3.5435e+02    1.6136e-10    3.3739e-11 
  3.5606e+02    1.6135e-10    3.3705e-11 
  3.5777e+02    1.6134e-10    3.3672e-11 
  3.5950e+02    1.6134e-10    3.3639e-11 
  3.6123e+02    1.6133e-10    3.3606e-11 
  3.6297e+02    1.6132e-10    3.3574e-11 
  3.6472e+02    1.6131e-10    3.3543e-11 
  3.6648e+02    1.6130e-10    3.3512e-11 
  3.6825e+02    1.6130e-10    3.3481e-11 
  3.7003e+02    1.6129e-10    3.3451e-11 
  3.7181e+02    1.6128e-10    3.3421e-11 
  3.7360e+02    1.6127e-10    3.3391e-11 
  3.7540e+02    1.6126e-10    3.3363e-11 
  3.7721e+02    1.6125e-10    3.3334e-11 
  3.7903e+02    1.6125e-10    3.3306e-11 
  3.8086e+02    1.6124e-10    3.3279e-11 
  3.8270e+02    1.6123e-10    3.3252e-11 
  3.8454e+02    1.6122e-10    3.3225e-11 
  3.8640e+02    1.6121e-10    3.3199e-11 
  3.8826e+02    1.6120e-10    3.3173e-11 
  3.9013e+02    1.6120e-10    3.3148e-11 
  3.9201e+02    1.6119e-10    3.3123e-11 
  3.9390e+02    1.6118e-10    3.3099e-11 
  3.9580e+02    1.6117e-10    3.3075e-11 
  3.9771e+02    1.6116e-10    3.3052e-11 
  3.9963e+02    1.6115e-10    3.3029e-11 
  4.0156e+02    1.6115e-10    3.3006e-11 
  4.0349e+02    1.6114e-10    3.2984e-11 
  4.0544e+02    1.6113e-10    3.2963e-11 
  4.0739e+02    1.6112e-10    3.2942e-11 
  4.0936e+02    1.6111e-10    3.2921e-11 
  4.1133e+02    1.6111e-10    3.2901e-11 
  4.1332e+02    1.6110e-10    3.2882e-11 
  4.1531e+02    1.6109e-10    3.2862e-11 
  4.1731e+02    1.6108e-10    3.2844e-11 
  4.1932e+02    1.6107e-10    3.2826e-11 
  4.2135e+02    1.6106e-10    3.2808e-11 
  4.2338e+02    1.6106e-10    3.2791e-11 
  4.2542e+02    1.6105e-10    3.2774e-11 
  4.2747e+02    1.6104e-10    3.2758e-11 
  4.2953e+02    1.6103e-10    3.2742e-11 
  4.3160e+02    1.6102e-10    3.2726e-11 
  4.3368e+02    1.6101e-10    3.2712e-11 
  4.3577e+02    1.6101e-10    3.2697e-11 
  4.3788e+02    1.6100e-10    3.2683e-11 
  4.3999e+02    1.6099e-10    3.2670e-11 
  4.4211e+02    1.6098e-10    3.2657e-11 
  4.4424e+02    1.6097e-10    3.2644e-11 
  4.4638e+02    1.6096e-10    3.2632e-11 
  4.4853e+02    1.6096e-10    3.2621e-11 
  4.5070e+02    1.6095e-10    3.2610e-11 
  4.5287e+02    1.6094e-10    3.2599e-11 
  4.5505e+02    1.6093e-10    3.2589e-11 
  4.5725e+02    1.6092e-10    3.2580e-11 
  4.5945e+02    1.6092e-10    3.2571e-11 
  4.6167e+02    1.6091e-10    3.2562e-11 
  4.6390e+02    1.6090e-10    3.2554e-11 
  4.6613e+02    1.6089e-10    3.2546e-11 
  4.6838e+02    1.6088e-10    3.2539e-11 
  4.7064e+02    1.6087e-10    3.2532e-11 
  4.7291e+02    1.6087e-10    3.2526e-11 
  4.7519e+02    1.6086e-10    3.2521e-11 
  4.7748e+02    1.6085e-10    3.2515e-11 
  4.7978e+02    1.6084e-10    3.2511e-11 
  4.8209e+02    1.6083e-10    3.2506e-11 
  4.8442e+02    1.6082e-10    3.2503e-11 
  4.8676e+02    1.6082e-10    3.2499e-11 
  4.8910e+02    1.6081e-10    3.2496e-11 
  4.9146e+02    1.6080e-10    3.2494e-11 
  4.9383e+02    1.6079e-10    3.2492e-11 
  4.9621e+02    1.6078e-10    3.2491e-11 
  4.9860e+02    1.6078e-10    3.2490e-11 
  5.0101e+02    1.6077e-10    3.2490e-11 
  5.0342e+02    1.6076e-10    3.2490e-11 
  5.0585e+02    1.6075e-10    3.2490e-11 
  5.0829e+02    1.6074e-10    3.2491e-11 
  5.1074e+02    1.6073e-10    3.2493e-11 
  5.1320e+02    1.6073e-10    3.2495e-11 
  5.1568e+02    1.6072e-10    3.2497e-11 
  5.1817e+02    1.6071e-10    3.2500e-11 
  5.2066e+02    1.6070e-10    3.2504e-11 
  5.2318e+02    1.6069e-10    3.2508e-11 
  5.2570e+02    1.6068e-10    3.2512e-11 
  5.2823e+02    1.6068e-10    3.2517e-11 
  5.3078e+02    1.6067e-10    3.2523e-11 
  5.3334e+02    1.6066e-10    3.2529e-11 
  5.3591e+02    1.6065e-10    3.2535e-11 
  5.3849e+02    1.6064e-10    3.2542e-11 
  5.4109e+02    1.6064e-10    3.2549e-11 
  5.4370e+02    1.6063e-10    3.2557e-11 
  5.4632e+02    1.6062e-10    3.2565e-11 
  5.4896e+02    1.6061e-10    3.2574e-11 
  5.5160e+02    1.6060e-10    3.2583e-11 
  5.5426e+02    1.6059e-10    3.2593e-11 
  5.5694e+02    1.6059e-10    3.2603e-11 
  5.5962e+02    1.6058e-10    3.2614e-11 
  5.6232e+02    1.6057e-10    3.2625e-11 
  5.6503e+02    1.6056e-10    3.2636e-11 
  5.6776e+02    1.6055e-10    3.2648e-11 
  5.7049e+02    1.6054e-10    3.2661e-11 
  5.7324e+02    1.6054e-10    3.2674e-11 
  5.7601e+02    1.6053e-10    3.2688e-11 
  5.7879e+02    1.6052e-10    3.2702e-11 
  5.8158e+02    1.6051e-10    3.2716e-11 
  5.8438e+02    1.6050e-10    3.2731e-11 
  5.8720e+02    1.6050e-10    3.2746e-11 
  5.9003e+02    1.6049e-10    3.2762e-11 
  5.9288e+02    1.6048e-10    3.2778e-11 
  5.9573e+02    1.6047e-10    3.2795e-11 
  5.9861e+02    1.6046e-10    3.2812e-11 
  6.0149e+02    1.6045e-10    3.2830e-11 
  6.0439e+02    1.6045e-10    3.2848e-11 
  6.0731e+02    1.6044e-10    3.2867e-11 
  6.1024e+02    1.6043e-10    3.2886e-11 
  6.1318e+02    1.6042e-10    3.2906e-11 
  6.1614e+02    1.6041e-10    3.2926e-11 
  6.1911e+02    1.6041e-10    3.2946e-11 
  6.2209e+02    1.6040e-10    3.2967e-11 
  6.2509e+02    1.6039e-10    3.2988e-11 
  6.2811e+02    1.6038e-10    3.3010e-11 
  6.3113e+02    1.6037e-10    3.3032e-11 
  6.3418e+02    1.6036e-10    3.3055e-11 
  6.3724e+02    1.6036e-10    3.3078e-11 
  6.4031e+02    1.6035e-10    3.3102e-11 
  6.4340e+02    1.6034e-10    3.3126e-11 
  6.4650e+02    1.6033e-10    3.3151e-11 
  6.4962e+02    1.6032e-10    3.3176e-11 
  6.5275e+02    1.6031e-10    3.3201e-11 
  6.5589e+02    1.6031e-10    3.3227e-11 
  6.5906e+02    1.6030e-10    3.3253e-11 
  6.6224e+02    1.6029e-10    3.3280e-11 
  6.6543e+02    1.6028e-10    3.3307e-11 
  6.6864e+02    1.6027e-10    3.3335e-11 
  6.7186e+02    1.6027e-10    3.3363e-11 
  6.7510e+02    1.6026e-10    3.3392e-11 
  6.7836e+02    1.6025e-10    3.3421e-11 
  6.8163e+02    1.6024e-10    3.3450e-11 
  6.8491e+02    1.6023e-10    3.3480e-11 
  6.8822e+02    1.6022e-10    3.3510e-11 
  6.9154e+02    1.6022e-10    3.3541e-11 
  6.9487e+02    1.6021e-10    3.3572e-11 
  6.9822e+02    1.6020e-10    3.3604e-11 
  7.0159e+02    1.6019e-10    3.3636e-11 
  7.0497e+02    1.6018e-10    3.3668e-11 
  7.0837e+02    1.6018e-10    3.3701e-11 
  7.1178e+02    1.6017e-10    3.3734e-11 
  7.1522e+02    1.6016e-10    3.3768e-11 
  7.1867e+02    1.6015e-10    3.3802e-11 
  7.2213e+02    1.6014e-10    3.3836e-11 
  7.2561e+02    1.6013e-10    3.3871e-11 
  7.2911e+02    1.6013e-10    3.3907e-11 
  7.3263e+02    1.6012e-10    3.3943e-11 
  7.3616e+02    1.6011e-10    3.3979e-11 
  7.3971e+02    1.6010e-10    3.4015e-11 
  7.4328e+02    1.6009e-10    3.4052e-11 
  7.4686e+02    1.6008e-10    3.4090e-11 
  7.5046e+02    1.6008e-10    3.4128e-11 
  7.5408e+02    1.6007e-10    3.4166e-11 
  7.5772e+02    1.6006e-10    3.4205e-11 
  7.6137e+02    1.6005e-10    3.4244e-11 
  7.6504e+02    1.6004e-10    3.4283e-11 
  7.6873e+02    1.6004e-10    3.4323e-11 
  7.7244e+02    1.6003e-10    3.4363e-11 
  7.7616e+02    1.6002e-10    3.4404e-11 
  7.7990e+02    1.6001e-10    3.4445e-11 
  7.8367e+02    1.6000e-10    3.4486e-11 
  7.8744e+02    1.5999e-10    3.4528e-11 
  7.9124e+02    1.5999e-10    3.4570e-11 
  7.9506e+02    1.5998e-10    3.4613e-11 
  7.9889e+02    1.5997e-10    3.4656e-11 
  8.0274e+02    1.5996e-10    3.4699e-11 
  8.0661e+02    1.5995e-10    3.4743e-11 
  8.1050e+02    1.5995e-10    3.4787e-11 
  8.1441e+02    1.5994e-10    3.4832e-11 
  8.1834e+02    1.5993e-10    3.4877e-11 
  8.2228e+02    1.5992e-10    3.4922e-11 
  8.2625e+02    1.5991e-10    3.4968e-11 
  8.3023e+02    1.5990e-10    3.5014e-11 
  8.3424e+02    1.5990e-10    3.5060e-11 
  8.3826e+02    1.5989e-10    3.5107e-11 
  8.4230e+02    1.5988e-10    3.5154e-11 
  8.4636e+02    1.5987e-10    3.5202e-11 
  8.5044e+02    1.5986e-10    3.5249e-11 
  8.5454e+02    1.5986e-10    3.5298e-11 
  8.5866e+02    1.5985e-10    3.5346e-11 
  8.6280e+02    1.5984e-10    3.5395e-11 
  8.6696e+02    1.5983e-10    3.5445e-11 
  8.7115e+02    1.5982e-10    3.5494e-11 
  8.7535e+02    1.5981e-10    3.5544e-11 
  8.7957e+02    1.5981e-10    3.5595e-11 
  8.8381e+02    1.5980e-10    3.5646e-11 
  8.8807e+02    1.5979e-10    3.5697e-11 
  8.9235e+02    1.5978e-10    3.5748e-11 
  8.9665e+02    1.5977e-10    3.5800e-11 
  9.0098e+02    1.5977e-10    3.5852e-11 
  9.0532e+02    1.5976e-10    3.5905e-11 
  9.0969e+02    1.5975e-10    3.5957e-11 
  9.1407e+02    1.5974e-10    3.6011e-11 
  9.1848e+02    1.5973e-10    3.6064e-11 
  9.2291e+02    1.5972e-10    3.6118e-11 
  9.2736e+02    1.5972e-10    3.6172e-11 
  9.3183e+02    1.5971e-10    3.6227e-11 
  9.3633e+02    1.5970e-10    3.6282e-11 
  9.4084e+02    1.5969e-10    3.6337e-11 
  9.4538e+02    1.5968e-10    3.6393e-11 
  9.4994e+02    1.5968e-10    3.6448e-11 
  9.5452e+02    1.5967e-10    3.6505e-11 
  9.5912e+02    1.5966e-10    3.6561e-11 
  9.6374e+02    1.5965e-10    3.6618e-11 
  9.6839e+02    1.5964e-10    3.6675e-11 
  9.7306e+02    1.5963e-10    3.6733e-11 
  9.7775e+02    1.5963e-10    3.6790e-11 
  9.8247e+02    1.5962e-10    3.6849e-11 
  9.8720e+02    1.5961e-10    3.6907e-11 
  9.9196e+02    1.5960e-10    3.6966e-11 
  9.9675e+02    1.5959e-10    3.7025e-11 
  1.0016e+03    1.5959e-10    3.7084e-11 
  1.0064e+03    1.5958e-10    3.7144e-11 
  1.0112e+03    1.5957e-10    3.7204e-11 
  1.0161e+03    1.5956e-10    3.7264e-11 
  1.0210e+03    1.5955e-10    3.7325e-11 
  1.0259e+03    1.5954e-10    3.7386e-11 
  1.0309e+03    1.5954e-10    3.7447e-11 
  1.0359e+03    1.5953e-10    3.7509e-11 
  1.0408e+03    1.5952e-10    3.7570e-11 
  1.0459e+03    1.5951e-10    3.7633e-11 
  1.0509e+03    1.5950e-10    3.7695e-11 
  1.0560e+03    1.5950e-10    3.7758e-11 
  1.0611e+03    1.5949e-10    3.7821e-11 
  1.0662e+03    1.5948e-10    3.7884e-11 
  1.0713e+03    1.5947e-10    3.7948e-11 
  1.0765e+03    1.5946e-10    3.8011e-11 
  1.0817e+03    1.5945e-10    3.8076e-11 
